model	elpd_loo	se_elpd_loo	elpd_diff	se_diff
No grazing-/mowing-interactions	-495.516174175557	30.1690028827142	0	0
Grazing-interactions	-496.533764224074	30.3859483795494	-1.01759004851691	1.82453638548766
Mowing-interactions	-497.292525485561	30.5821914354305	-1.77635131000279	1.70816215048723
Grazing- and mowing-interactions	-498.550028829542	30.6599535330526	-3.03385465398429	2.46749655667157
No grazing-/mowing-interactions	-821.529533111395	31.4508285959179	0	0
Grazing-interactions	-824.645629910448	31.7077814214981	-3.11609679905267	0.703226974887479
Mowing-interactions	-825.138437342329	31.6075196905535	-3.60890423092978	0.880309857993202
Grazing- and mowing-interactions	-826.656489303974	31.7964872739045	-5.12695619257832	1.91220523030221
